epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,171.358,2.05431,1.19634,1.06359,0.52633,0.79395,0.68218,0.2009,2.28727,1.3156,1.09917,0.00643101,0.00643101,0.00643101
43,175.035,2.0128,1.30484,1.05791,0.62587,0.74802,0.69542,0.23439,2.27115,1.33375,1.10639,0.00628101,0.00628101,0.00628101
44,179.568,1.98947,1.27855,1.0499,0.57371,0.7619,0.7119,0.23401,2.30819,1.37496,1.11869,0.00612981,0.00612981,0.00612981
45,184.357,2.05755,1.20708,1.04768,0.68659,0.76587,0.67608,0.24927,2.33708,1.26208,1.11551,0.00597754,0.00597754,0.00597754
46,190.107,2.07612,1.20157,1.03717,0.76826,0.76142,0.73126,0.21132,2.34975,1.29638,1.13137,0.00582435,0.00582435,0.00582435
47,193.175,1.97527,1.21894,0.99889,0.69124,0.69022,0.66138,0.18929,2.37407,1.3618,1.12779,0.0056704,0.0056704,0.0056704
48,197.274,1.89661,1.10103,0.93557,0.65273,0.73016,0.66477,0.22509,2.41735,1.28959,1.14849,0.00551584,0.00551584,0.00551584
49,202.971,2.06087,1.17016,1.04694,0.70199,0.80576,0.72549,0.25133,2.2864,1.23099,1.13151,0.00536081,0.00536081,0.00536081
50,206.871,2.08458,1.22715,1.02355,0.67402,0.69474,0.68616,0.25154,2.28929,1.23615,1.14037,0.00520548,0.00520548,0.00520548
51,210.197,1.95052,1.1142,1.01595,0.65449,0.77517,0.71109,0.25473,2.27048,1.23063,1.11159,0.00505,0.00505,0.00505
52,213.975,1.90583,1.04449,1.01816,0.73464,0.76368,0.73616,0.24594,2.25092,1.22132,1.11796,0.00489452,0.00489452,0.00489452
53,219.129,1.75973,1.00223,0.91689,0.73953,0.68439,0.70156,0.22299,2.25682,1.21522,1.09508,0.00473919,0.00473919,0.00473919
54,223.717,1.96357,1.07191,0.98254,0.68405,0.6998,0.70656,0.2188,2.30923,1.22289,1.12321,0.00458416,0.00458416,0.00458416
55,226.895,1.96396,1.05826,1.0044,0.65884,0.70459,0.67638,0.21951,2.24688,1.22343,1.10755,0.0044296,0.0044296,0.0044296
56,230.73,1.86279,1.10202,0.99966,0.67368,0.74008,0.66611,0.22258,2.27357,1.23982,1.11713,0.00427565,0.00427565,0.00427565
57,235.082,1.80238,1.09931,0.93478,0.66976,0.77579,0.67111,0.22013,2.25413,1.2345,1.09959,0.00412246,0.00412246,0.00412246
58,238.37,1.88506,1.02114,0.98044,0.73464,0.73214,0.7028,0.24581,2.20923,1.20804,1.10438,0.00397019,0.00397019,0.00397019
59,241.711,1.83903,1.05805,0.99617,0.74718,0.78571,0.74818,0.26905,2.18742,1.15779,1.09587,0.00381899,0.00381899,0.00381899
60,245.099,1.88304,0.99959,0.96389,0.69721,0.67541,0.6474,0.22746,2.22445,1.22812,1.10024,0.00366899,0.00366899,0.00366899
61,249.813,1.77046,1.03363,0.97484,0.67559,0.72421,0.68789,0.23068,2.20887,1.21765,1.09471,0.00352037,0.00352037,0.00352037
62,254.587,1.88351,1.00771,1.00188,0.6689,0.71337,0.66549,0.2205,2.22222,1.21572,1.10877,0.00337325,0.00337325,0.00337325
63,257.717,1.70933,0.9518,0.92577,0.60434,0.77183,0.66703,0.22403,2.20696,1.20371,1.10457,0.00322778,0.00322778,0.00322778
64,261.056,1.87838,1.06921,0.99805,0.59317,0.78373,0.63916,0.22466,2.22023,1.16935,1.10528,0.00308412,0.00308412,0.00308412
65,265.997,1.73127,1.0166,0.9688,0.61472,0.7996,0.66839,0.23773,2.21146,1.17185,1.09584,0.00294239,0.00294239,0.00294239
66,269.236,1.7786,1.0181,0.9703,0.64484,0.80238,0.67891,0.23481,2.1733,1.15122,1.08341,0.00280275,0.00280275,0.00280275
67,272.384,1.68573,0.93281,0.90259,0.72749,0.81944,0.73743,0.23687,2.24617,1.17849,1.09763,0.00266532,0.00266532,0.00266532
68,275.624,1.6479,0.97145,0.89801,0.78181,0.81006,0.78602,0.25528,2.23094,1.15147,1.09465,0.00253024,0.00253024,0.00253024
69,280.334,1.80932,1.00057,0.99539,0.71265,0.80159,0.72827,0.26774,2.21038,1.15661,1.09432,0.00239766,0.00239766,0.00239766
70,283.978,1.66658,0.90094,0.9437,0.70063,0.81944,0.73307,0.25794,2.19661,1.18168,1.09537,0.00226769,0.00226769,0.00226769
71,287.177,1.76729,0.92082,0.95023,0.6981,0.81944,0.73168,0.26255,2.22279,1.17798,1.10096,0.00214046,0.00214046,0.00214046
72,290.418,1.76356,1.00177,0.96632,0.67152,0.78294,0.66221,0.2485,2.24147,1.17773,1.10444,0.00201611,0.00201611,0.00201611
73,294.869,1.7259,0.96414,0.94696,0.70698,0.79419,0.70731,0.25677,2.23686,1.17793,1.10207,0.00189475,0.00189475,0.00189475
74,298.632,1.60993,0.89098,0.90568,0.67911,0.72024,0.66667,0.25319,2.24723,1.19952,1.1037,0.00177651,0.00177651,0.00177651
75,301.69,1.73356,0.91437,0.94503,0.71513,0.74603,0.69723,0.25577,2.23887,1.21824,1.09974,0.00166149,0.00166149,0.00166149
76,304.815,1.62423,0.88351,0.93993,0.78266,0.76473,0.75657,0.27957,2.21474,1.17559,1.09516,0.00154982,0.00154982,0.00154982
77,308.96,1.65937,0.91758,0.95892,0.72321,0.75,0.72155,0.26322,2.23844,1.15233,1.10019,0.00144161,0.00144161,0.00144161
78,312.997,1.70723,0.95128,0.94405,0.74694,0.76808,0.73855,0.27009,2.20255,1.14422,1.0929,0.00133695,0.00133695,0.00133695
79,316.827,1.6931,0.92327,0.95068,0.76467,0.75754,0.74834,0.28078,2.2101,1.14012,1.09944,0.00123596,0.00123596,0.00123596
80,320.371,1.54324,0.8354,0.86147,0.75917,0.73413,0.72953,0.27642,2.2397,1.16569,1.10771,0.00113873,0.00113873,0.00113873
81,324.361,1.698,0.89477,0.92106,0.7466,0.75198,0.72756,0.27217,2.2339,1.16915,1.1052,0.00104537,0.00104537,0.00104537
82,329.834,1.67404,1.10326,0.93439,0.78769,0.73413,0.73196,0.27687,2.18911,1.15507,1.0914,0.000955951,0.000955951,0.000955951
83,332.916,1.62646,0.87132,0.96809,0.7125,0.75794,0.7272,0.27709,2.17583,1.16736,1.08861,0.000870577,0.000870577,0.000870577
84,336.105,1.61042,0.85369,0.95357,0.70094,0.7615,0.71391,0.2824,2.1741,1.15976,1.09381,0.000789327,0.000789327,0.000789327
85,341.055,1.60323,0.92659,0.91541,0.79073,0.7368,0.72736,0.27031,2.19627,1.17363,1.10189,0.000712282,0.000712282,0.000712282
86,344.546,1.60975,0.91704,0.92975,0.76689,0.74053,0.73351,0.26953,2.1952,1.17607,1.09971,0.000639518,0.000639518,0.000639518
87,349.042,1.616,0.87598,0.89469,0.74486,0.72522,0.73001,0.27179,2.20971,1.15692,1.0951,0.000571106,0.000571106,0.000571106
